Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Customer Age,City,Zip Code,State,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
1914,13729,1/1/12,Not Specified,9,872.48,0.08,Express Air,-342.91,95.99,35,Matt Collister,,Bowie,20715,Maryland,East,Home Office,Office Supplies,Storage & Organization,Safco Industrial Wire Shelving,Large Box,,1/3/12
4031,28774,1/1/12,High,32,180.36,0.1,Regular Air,-111.80,5.98,4.69,Jessica Myrick,,McKeesport,15131,Pennsylvania,East,Small Business,Office Supplies,Storage & Organization,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Small Box,0.68,1/2/12
1279,9285,1/2/12,Critical,3,124.81,0.06,Regular Air,-11.94,40.98,2.99,David Philippe,,Prior Lake,55372,Minnesota,Central,Consumer,Office Supplies,Binders and Binder Accessories,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Small Box,0.36,1/4/12
5272,37537,1/2/12,Low,4,1239.06,0,Delivery Truck,-193.08,291.73,48.8,Alan Schoenberger,,Napa,94559,California,West,Corporate,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Jumbo Drum,0.56,1/2/12
5273,37537,1/2/12,Low,43,4083.19,0.07,Delivery Truck,-1049.85,100.98,45,Alan Schoenberger,,Napa,94559,California,West,Corporate,Furniture,Chairs & Chairmats,Hon Valutask™ Swivel Chairs,Jumbo Drum,0.69,1/4/12
5274,37537,1/2/12,Low,32,4902.38,0.05,Regular Air,1438.49,155.06,7.07,Alan Schoenberger,,Napa,94559,California,West,Corporate,Office Supplies,Storage & Organization,"Dual Level, Single-Width Filing Carts",Small Box,0.59,1/9/12
6224,44069,1/2/12,Critical,16,137.63,0.09,Express Air,26.71,9.11,2.15,Elizabeth Moffitt,,Montebello,90640,California,West,Consumer,Office Supplies,Paper,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Wrap Bag,0.4,1/4/12
6225,44069,1/2/12,Critical,43,614.8,0.08,Regular Air,247.79,15.04,1.97,Elizabeth Moffitt,,Montebello,90640,California,West,Consumer,Office Supplies,Paper,White GlueTop Scratch Pads,Wrap Bag,0.39,1/2/12
1074,7909,1/3/12,High,29,122.23,0.03,Regular Air,24.55,4.26,1.2,Alex Russell,,Lake Oswego,97035,Oregon,West,Home Office,Office Supplies,Pens & Art Supplies,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Wrap Bag,0.44,1/4/12
1315,9637,1/3/12,Low,12,522.49,0.08,Regular Air,-236.43,43.22,16.71,Andy Reiter,,Baton Rouge,70802,Louisiana,South,Corporate,Technology,Computer Peripherals,"Fellowes Mobile Numeric Keypad, Graphite",Small Box,0.66,1/5/12
1316,9637,1/3/12,Low,49,28359.4,0.05,Regular Air,14440.39,574.74,24.49,Andy Reiter,,Baton Rouge,70802,Louisiana,South,Corporate,Technology,Office Machines,Polycom ViaVideo™ Desktop Video Communications Unit,Large Box,0.37,1/10/12
1317,9637,1/3/12,Low,12,123.76,0.04,Regular Air,32.44,10.14,2.27,Andy Reiter,,Baton Rouge,70802,Louisiana,South,Corporate,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Wrap Bag,0.36,1/7/12
1336,9762,1/3/12,High,12,262.76,0.05,Regular Air,-146.05,20.98,21.2,Larry Tron,,Draper,84020,Utah,West,Home Office,Furniture,Office Furnishings,36X48 HARDFLOOR CHAIRMAT,Medium Box,0.78,1/4/12
1663,11972,1/3/12,Not Specified,4,896.49,0,Delivery Truck,-452.27,213.45,14.7,Ann Steele,,Layton,84041,Utah,West,Corporate,Technology,Office Machines,Panasonic KX-P2130 Dot Matrix Printer,Jumbo Drum,0.59,1/5/12
4223,30016,1/3/12,Critical,15,85.56,0.03,Regular Air,-41.58,5.28,5.66,Bill Donatelli,,Kearney,68847,Nebraska,Central,Corporate,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Small Box,0.4,1/5/12
4224,30016,1/3/12,Critical,8,754.6555,0.01,Regular Air,-212.55,110.99,2.5,Bill Donatelli,,Kearney,68847,Nebraska,Central,Corporate,Technology,Telephones and Communication,T18,Small Box,0.57,1/6/12
5704,40354,1/3/12,High,29,172.51,0.03,Regular Air,12.55,5.58,2.99,Patrick Jones,,Phenix City,36869,Alabama,South,Home Office,Office Supplies,Binders and Binder Accessories,Avery Heavy-Duty EZD ™ Binder With Locking Rings,Small Box,0.37,1/4/12
5705,40354,1/3/12,High,4,698,0.09,Delivery Truck,-93.16,212.6,52.2,Patrick Jones,,Phenix City,36869,Alabama,South,Home Office,Furniture,Tables,Bush Advantage Collection® Round Conference Table,Jumbo Box,0.64,1/4/12
1193,8710,1/4/12,Critical,17,63.34,0.03,Regular Air,-76.02,3.36,6.27,Tamara Dahlen,,Pharr,78577,Texas,Central,Corporate,Office Supplies,Binders and Binder Accessories,Cardinal Poly Pocket Divider Pockets for Ring Binders,Small Box,0.4,1/5/12
1194,8710,1/4/12,Critical,42,151.35,0.07,Express Air,8.33,3.71,1.93,Tamara Dahlen,,Pharr,78577,Texas,Central,Corporate,Office Supplies,Paper,"""While you Were Out"" Message Book, One Form per Page",Wrap Bag,0.35,1/6/12
6953,49730,1/4/12,High,3,1039.56,0.06,Delivery Truck,-394.69,350.98,30,Dave Hallsten,,Bryan,77803,Texas,Central,Home Office,Furniture,Chairs & Chairmats,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Jumbo Drum,0.61,1/5/12
47,290,1/5/12,Not Specified,24,188.73,0.05,Regular Air,-32.48,7.64,5.83,Dorris Love,,Deer Park,11729,New York,East,Home Office,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Wrap Bag,0.36,1/6/12
164,1028,1/5/12,High,6,165.75,0.03,Regular Air,-28.46,28.48,1.99,Matt Collins,,Fort Dodge,50501,Iowa,Central,Consumer,Technology,Computer Peripherals,"Memorex 4.7GB DVD+RW, 3/Pack",Small Pack,0.4,1/6/12
165,1028,1/5/12,High,11,2021.147,0.01,Regular Air,-60.39,205.99,5.99,Matt Collins,,Fort Dodge,50501,Iowa,Central,Consumer,Technology,Telephones and Communication,3285,Small Box,0.59,1/7/12
3588,25601,1/5/12,Medium,43,257.41,0.09,Regular Air,-131.08,5.98,4.69,Valerie Dominguez,,Ormond Beach,32174,Florida,South,Corporate,Office Supplies,Storage & Organization,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Small Box,0.68,1/6/12
3981,28451,1/5/12,Critical,21,4201.08,0.01,Regular Air,1162.76,194.3,11.54,Pauline Chand,,Norman,73071,Oklahoma,Central,Small Business,Furniture,Office Furnishings,Electrix Halogen Magnifier Lamp,Large Box,0.59,1/7/12
3982,28451,1/5/12,Critical,41,8958.46,0.02,Regular Air,2593.14,209.84,21.21,Pauline Chand,,Norman,73071,Oklahoma,Central,Small Business,Furniture,Office Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Large Box,0.59,1/6/12
3983,28451,1/5/12,Critical,33,4913.7,0,Delivery Truck,1054.93,145.45,17.85,Pauline Chand,,Norman,73071,Oklahoma,Central,Small Business,Technology,Office Machines,Panasonic KX-P1150 Dot Matrix Printer,Jumbo Drum,0.56,1/7/12
4555,32418,1/5/12,Not Specified,5,1244.19,0.08,Delivery Truck,-131.31,243.98,43.32,Marina Lichtenstein,,Dubuque,52001,Iowa,Central,Corporate,Furniture,Chairs & Chairmats,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Jumbo Drum,0.55,1/6/12
7352,52386,1/5/12,High,6,700.73,0.08,Delivery Truck,-188.58,120.97,26.3,Susan Vittorini,,Mount Prospect,60056,Illinois,Central,Home Office,Technology,Office Machines,Canon S750 Color Inkjet Printer,Jumbo Drum,0.38,1/7/12
8011,57253,1/5/12,Critical,43,78.08,0.08,Regular Air,1.74,1.81,0.75,Darren Budd,,Bedford,76021,Texas,Central,Consumer,Furniture,Chairs & Chairmats,"Metal Folding Chairs, Beige, 4/Carton",Jumbo Drum,0.58,1/6/12
8012,57253,1/5/12,Critical,29,653.54,0.06,Delivery Truck,-1358.90,20.98,53.03,Darren Budd,,Bedford,76021,Texas,Central,Consumer,Furniture,Chairs & Chairmats,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Jumbo Drum,0.64,1/7/12
